iter	Passed	Remaining
613	529308	3781019
614	530158	3780074
615	530970	3778857
616	531803	3777785
617	532634	3776705
618	533505	3775910
619	534432	3775508
620	535266	3774447
621	536167	3773861
622	537067	3773266
623	537914	3772301
624	538767	3771370
625	539655	3770692
626	540690	3771033
627	541538	3770076
628	542355	3768897
629	543178	3767761
630	544031	3766838
631	544864	3765770
632	545685	3764628
633	546541	3763722
634	547357	3762541
635	548175	3761383
636	549014	3760362
637	549844	3759280
638	550680	3758242
639	551575	3757606
640	552457	3756883
641	553291	3755832
642	554150	3754948
643	555039	3754274
644	555867	3753182
645	556710	3752195
646	557514	3750942
647	558373	3750062
648	559251	3749311
649	560069	3748156
650	560893	3747041
651	561762	3746229
652	562593	3745169
653	563447	3744256
654	564267	3743118
655	565133	3742283
656	566000	3741461
657	566825	3740362
658	567672	3739403
659	568515	3738423
660	569336	3737292
661	570362	3737513
662	571225	3736661
663	572071	3735692
664	572932	3734831
665	573809	3734070
666	574664	3733166
667	575494	3732096
668	576300	3730878
669	577107	3729665
670	578018	3729122
671	578864	3728160
672	579675	3726979
673	580487	3725798
674	581340	3724886
675	582185	3723921
676	583003	3722781
677	583842	3721780
678	584687	3720819
679	585574	3720119
680	586438	3719274
681	587257	3718150
682	588152	3717503
683	589012	3716634
684	589860	3715693
685	590730	3714884
686	591550	3713763
687	592395	3712804
688	593286	3712132
689	594318	3712339
690	595179	3711473
691	596041	3710619
692	596888	3709664
693	597800	3709120
694	598646	3708161
695	599478	3707122
696	600305	3706047
697	601138	3705013
698	601963	3703929
699	602803	3702936
700	603686	3702210
701	604530	3701245
702	605402	3700445
703	606263	3699586
704	607104	3698600
